Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Fully specified name:km,Short name:km,Description:en,Description:km,Data class,Data type,Answers,Units,Members,Allow decimals,_version:1,_order:1850
f6a3e29c-9ecc-4583-9768-359c77529635,,,Cervical screening follow up,Cervical screening follow up,ការត្រឡប់មកតាមដានដើម្បីពិនិត្យមើលមាត់ស្បូនឡើងវិញ,ការត្រឡប់មកតាមដានដើម្បីពិនិត្យមើលមាត់ស្បូនឡើងវិញ,,,Misc,Coded,4 weeks;6 weeks;1 year;3 years,,,,,
0241c9eb-fef8-4dca-8d5c-dd6bdb48b4f9,,,Bartolinitis,Bartolinitis,ជំងឺរលាកក្រពេញបាតូឡាំង,ជំងឺរលាកក្រពេញបាតូឡាំង,,,Misc,N/A,,,,,,
5a8f6920-f3fe-4018-a821-3cff2ed4434b,,,Warts,Warts,កើតឫស្ស,កើតឫស្ស,,,Misc,N/A,,,,,,
f89ac0c9-298e-43dc-8c13-158b8ec2db63,,,Uterus prolapsus,Uterus prolapsus,ស្បូនស្រុត/ធ្លាក់,ស្បូនស្រុត/ធ្លាក់,,,Misc,N/A,,,,,,
4ef86ec5-e804-476c-8009-90e89cedb6af,,,Vulvitis,Vulvitis,រលាកយោនី,រលាកយោនី,,,Misc,N/A,,,,,,
4a9d6f88-82f4-47d0-a83c-09648bb891e7,,,Vaginitis,Vaginitis,រលាករន្ធយោនី / រលាកទ្វារមាស,រលាករន្ធយោនី / រលាកទ្វារមាស,,,Misc,N/A,,,,,,
4103d60b-ec8b-4197-8290-7cc4132139ca,,,Tumor,Tumor,ដុំសាច់,ដុំសាច់,,,Misc,N/A,,,,,,
ebd85cb3-32a4-4438-addf-1c7d954cbe3c,,,Mobile tumor,Mobile tumor,ដុំសាច់ដែលមានចលនា,ដុំសាច់ដែលមានចលនា,,,Misc,N/A,,,,,,
d9ef9bbe-4408-4b9e-9787-a1bde6e87786,,,Immobile tumor,Immobile tumor,ដុំំសាច់ដែលមិនមានចលនា,ដុំំសាច់ដែលមិនមានចលនា,,,Misc,N/A,,,,,,
8028de40-18d0-412c-8f7a-68cef81de52b,,,Mastitis,Mastitis,ជំងឺរលាកដោះ,ជំងឺរលាកដោះ,,,Misc,N/A,,,,,,
4ad960b5-7168-48ae-a9c1-d0826f3caa8e,,,Ultrasound,Ultrasound,ការឆ្លុះអេកូ,ការឆ្លុះអេកូ,,,Misc,N/A,,,,,,
d58bacd2-0541-4e3c-97ac-d79463630da7,,,Mammography,Mammography,ការឆ្លុះមើលដោះ,ការឆ្លុះមើលដោះ,,,Misc,N/A,,,,,,
ee2741e5-1ae4-4b44-8d56-041c0b257c51,,,Cervicitis,Cervicitis,រលាកមាត់ស្បូន,រលាកមាត់ស្បូន,,,Misc,N/A,,,,,,
59e68692-9cb2-4138-81b9-0986e3ce35b2,,,Naboth cyst,Naboth cyst,ក្រពេញតូចៗពណ៌សលេចចេញលើមាត់ស្បូន,ក្រពេញតូចៗពណ៌សលេចចេញលើមាត់ស្បូន,,,Misc,N/A,,,,,,
cfca3230-c44b-4fce-9ccf-897349230c8a,,,Endometriosis,Endometriosis,ជំងឺរលាកសាច់ស្បូនខាងក្នុង,ជំងឺរលាកសាច់ស្បូនខាងក្នុង,,,Misc,N/A,,,,,,
b2e08a56-4bcd-4bc9-891b-c2f08cb42258,,,Polyp,Polyp,ប៉ូលីប,ប៉ូលីប,,,Misc,N/A,,,,,,
cd4558c3-56d5-47b7-8f16-0c5317877aeb,,,Suspected cervical cancer,Suspected cervical cancer,សង្ស័យមានជំងឺមហារីកមាត់ស្បូន,សង្ស័យមានជំងឺមហារីកមាត់ស្បូន,,,Misc,N/A,,,,,,
20c37ce2-6db6-4c78-b956-79a629d6c5b6,,,Vulva examination,Vulva examination,ការពិនិត្យយោនី,ការពិនិត្យយោនី,,,Misc,Coded,Normal;Bartolinitis;Warts;Uterus prolapsus;Vulvitis;Other,,,,,
576ac172-f3cf-4a45-bcce-46ecefdeb34d,,,Other vulva examination details,Other vulva examination details,ភាពពិស្តារអំពីការពិនិត្យយោនី,ភាពពិស្តារអំពីការពិនិត្យយោនី,,,Misc,Text,,,,,,
b88d4e86-5324-4fe7-ac6a-9437f91d4988,,,Vagina examination,Vagina examination,ការពិនិត្យទ្វារមាស,ការពិនិត្យទ្វារមាស,,,Misc,Coded,Normal;Vaginitis;Tumor;Other,,,,,
26033a22-edcc-4608-aa08-d00e0394d473,,,Other vagina examination details,Other vagina examination details,ភាពពិស្តារអំពីការពិនិត្យទ្វារមាស,ភាពពិស្តារអំពីការពិនិត្យទ្វារមាស,,,Misc,Text,,,,,,
288feadf-eb58-4b0a-9fa7-a57a2aea4dc6,,,Cervix examination,Cervix examination,ការពិនិត្យមាត់ស្បូន/កស្បូន,ការពិនិត្យមាត់ស្បូន/កស្បូន,,,Misc,Coded,Normal;Cervicitis;Naboth cyst;Endometriosis;Polyp;Suspected cervical cancer;Other,,,,,
02d981e3-e0c9-4d86-ab6b-197cd15cd149,,,Other cervix examination details,Other cervix examination details,ភាពពិស្តារផ្សេងទៀតទាក់ទងនឹងការពិនិត្យមាត់ស្បូន/កស្បូន,ភាពពិស្តារផ្សេងទៀតទាក់ទងនឹងការពិនិត្យមាត់ស្បូន/កស្បូន,,,Misc,Text,,,,,,
05b3b2c5-79fd-48e4-9416-3737c8f74233,,,Bimanual examination,Bimanual examination,ការពិនិត្យលូកទ្វារមាស ស្ទាបដោយដៃទាំងពីរ,ការពិនិត្យលូកទ្វារមាស ស្ទាបដោយដៃទាំងពីរ,,,Misc,Coded,Cervix;Uterus;Fallopian tube;Vulva;Rectum,,,,,
c208aa27-9790-4dbf-84eb-2ffc321a1230,,,Self-breast education offered?,Self-breast education offered?,តើការអប់រំអំពី ការពិនិត្យដោះដោយខ្លួនឯង ត្រូវបានគេផ្តល់ឲ្យឬទេ?,តើការអប់រំអំពី ការពិនិត្យដោះដោយខ្លួនឯង ត្រូវបានគេផ្តល់ឲ្យឬទេ?,,,Misc,Coded,Yes;No,,,,,
d1fd20ef-6363-4065-98d6-f36b8f1dc27e,,,Self-breast examination,Self-breast examination,ការពិនិត្យដោះដោយខ្លួនឯង,ការពិនិត្យដោះដោយខ្លួនឯង,,,Misc,Coded,Normal;Mobile tumor;Immobile tumor;Mastitis;Suspected cancer; Other,,,,,
f984b718-d674-40c4-9ac4-8d22963e1933,,,Other self-breast examination details,Other self-breast examination details,ភាពពិស្តារអំពីការពិនិត្យដោះដោយខ្លួនឯង,ភាពពិស្តារអំពីការពិនិត្យដោះដោយខ្លួនឯង,,,Misc,Text,,,,,,
e676ab7f-13b0-4251-84fd-9874c80133b5,,,Breast cancer reason for referral,Breast cancer reason for referral,មូលហេតុដែលត្រូវបញ្ជូនអ្នកជំងឺមហារីកដោះ,មូលហេតុដែលត្រូវបញ្ជូនអ្នកជំងឺមហារីកដោះ,,,Misc,Coded,Ultrasound;Mammography;Biopsis;Other,,,,,
d7e7f0b4-94c8-4bd9-a6ef-a38e1d3efcc8,,,Breast cancer reason for referral (Non-coded),Breast cancer reason for referral (Non-coded),មូលហេតុដែលត្រូវបញ្ជូនអ្នកជំងឺមហារីកដោះ (មិនមានលេខកូដសម្គាល់),មូលហេតុដែលត្រូវបញ្ជូនអ្នកជំងឺមហារីកដោះ (មិនមានលេខកូដសម្គាល់),,,Misc,Text,,,,,,
ed4d2e2f-1ebf-4ab6-b4ee-6dc6d24fca12,,,Breast cancer treatment,Breast cancer treatment,ការព្យាបាលជំងឺមហារីកដោះ,ការព្យាបាលជំងឺមហារីកដោះ,,,Misc,Coded,Surgery;Medical treatment;Radiotherapy;Chemotherapy,,,,,
194da4ae-74fd-48c0-9d25-78c70e9fb21f,,,Does your partner have many sexual partners?,Does your partner have many sexual partners?,តើដៃគូរបស់អ្នកមានដៃគូរួមភេទច្រើនឬទេ?,តើដៃគូរបស់អ្នកមានដៃគូរួមភេទច្រើនឬទេ?,,,Question,Coded,Yes;No,,,,,
b6f6dc57-f3a3-4bf9-94a5-5db24d96ed1d,,,Do you have many sexual partners?,Do you have many sexual partners?,តើអ្នកមានដៃគូរួមភេទច្រើនឬទេ?,តើអ្នកមានដៃគូរួមភេទច្រើនឬទេ?,,,Question,Coded,Yes;No,,,,,
47ab49cc-d7b0-4a2c-bc79-d60784e240d5,,,Breast cancer screening date,Breast cancer screening date,កាលបរិច្ឆេទពិនិត្យជំងឺមហារីកដោះ,កាលបរិច្ឆេទពិនិត្យជំងឺមហារីកដោះ,,,Misc,Date,,,,,,
